Date,Year,Month,Origin,Destination,Vessel_Type,Cargo_Type,Cargo_Volume_MT,Vessel_Capacity_MT,Freight_Rate_USD_MT,Bunker_Price_USD_MT,Commodity_Price_Index,Season,Seasonal_Index,Distance_NM,Sailing_Duration_Days,Port_Congestion_Index,Waiting_Time_Days,Berth_Availability_Pct,Cargo_Handling_Rate_MT_Day,Weather_Risk_Index,Max_Port_Draft_M,Max_Port_LOA_M,Max_Port_Beam_M,Empty_Repositioning_NM,Estimated_Idle_Days,Freight_Rate_Change_Pct,Trend
2021-01-01,2021,1,Gladstone,Paradip,Capesize,Coal,145000,160000,18.5,498.46,113.25,Winter,1.0,4800,15.38,2.4,2.58,77.6,25881,1.93,14.5,290,45,225,3.35,0.0,Stable
2021-01-01,2021,1,Richards Bay,Paradip,Handysize,Coal,37000,38000,34.15,498.46,113.25,Winter,1.0,6900,23.96,2.76,3.4,72.3,26941,1.58,14.5,290,45,285,3.24,0.0,Stable
2021-01-01,2021,1,Richards Bay,Paradip,Supramax,Coal,56000,58000,29.52,498.46,113.25,Winter,1.0,6900,23.96,2.76,3.4,72.3,26941,1.58,14.5,290,45,136,3.92,0.0,Stable
2021-01-01,2021,1,Richards Bay,Paradip,Panamax,Coal,63500,72000,26.34,498.46,113.25,Winter,1.0,6900,23.96,2.76,3.4,72.3,26941,1.58,14.5,290,45,188,4.26,0.0,Stable
2021-01-01,2021,1,Richards Bay,Paradip,Capesize,Coal,148000,160000,20.59,498.46,113.25,Winter,1.0,6900,22.12,2.76,3.4,72.3,26941,1.58,14.5,290,45,119,4.12,0.0,Stable
2021-01-01,2021,1,Indonesia,Paradip,Handysize,Coal,34000,38000,25.06,498.46,113.25,Winter,1.0,3000,10.42,2.98,3.05,72.4,27101,1.66,14.5,290,45,128,3.22,0.0,Stable
2021-01-01,2021,1,Indonesia,Paradip,Supramax,Coal,55000,58000,22.06,498.46,113.25,Winter,1.0,3000,10.42,2.98,3.05,72.4,27101,1.66,14.5,290,45,160,3.53,0.0,Stable
2021-01-01,2021,1,Indonesia,Paradip,Panamax,Coal,64500,72000,19.4,498.46,113.25,Winter,1.0,3000,10.42,2.98,3.05,72.4,27101,1.66,14.5,290,45,132,3.38,0.0,Stable
2021-01-01,2021,1,Indonesia,Paradip,Capesize,Coal,149500,160000,16.15,498.46,113.25,Winter,1.0,3000,9.62,2.98,3.05,72.4,27101,1.66,14.5,290,45,310,3.63,0.0,Stable
2021-01-01,2021,1,Brazil,Dhamra,Handysize,Iron Ore,38000,38000,38.73,498.46,113.25,Winter,1.0,11000,38.19,2.94,3.17,72.4,26512,0.5,18.0,300,48,184,3.7,0.0,Stable
2021-01-01,2021,1,Brazil,Dhamra,Supramax,Iron Ore,52500,58000,34.33,498.46,113.25,Winter,1.0,11000,38.19,2.94,3.17,72.4,26512,0.5,18.0,300,48,220,3.9,0.0,Stable
2021-01-01,2021,1,Brazil,Dhamra,Panamax,Iron Ore,65500,72000,31.15,498.46,113.25,Winter,1.0,11000,38.19,2.94,3.17,72.4,26512,0.5,18.0,300,48,47,3.85,0.0,Stable
2021-01-01,2021,1,Brazil,Dhamra,Capesize,Iron Ore,160000,160000,23.28,498.46,113.25,Winter,1.0,11000,35.26,2.94,3.17,72.4,26512,0.5,18.0,300,48,114,3.73,0.0,Stable
2021-02-01,2021,2,Newcastle,Paradip,Handysize,Coal,34500,38000,30.42,513.96,110.35,Winter,1.04,4200,14.58,2.08,2.64,83.2,26954,0.5,14.5,290,45,61,3.07,1.94,Stable
2021-02-01,2021,2,Newcastle,Paradip,Supramax,Coal,57000,58000,24.44,513.96,110.35,Winter,1.04,4200,14.58,2.08,2.64,83.2,26954,0.5,14.5,290,45,174,3.07,1.83,Stable
2021-02-01,2021,2,Newcastle,Paradip,Panamax,Coal,69500,72000,22.11,513.96,110.35,Winter,1.04,4200,14.58,2.08,2.64,83.2,26954,0.5,14.5,290,45,54,3.14,-4.57,Decreasing
2021-02-01,2021,2,Newcastle,Paradip,Capesize,Coal,152000,160000,18.53,513.96,110.35,Winter,1.04,4200,13.46,2.08,2.64,83.2,26954,0.5,14.5,290,45,187,2.84,1.48,Stable
2021-02-01,2021,2,Newcastle,Dhamra,Handysize,Coal,33500,38000,31.46,513.96,110.35,Winter,1.04,4250,14.76,2.79,3.18,78.3,26979,0.6,18.0,300,48,82,3.88,7.26,Increasing
2021-02-01,2021,2,Newcastle,Dhamra,Supramax,Coal,56500,58000,26.06,513.96,110.35,Winter,1.04,4250,14.76,2.79,3.18,78.3,26979,0.6,18.0,300,48,237,3.78,-0.84,Stable
2021-02-01,2021,2,Newcastle,Dhamra,Panamax,Coal,69500,72000,25.41,513.96,110.35,Winter,1.04,4250,14.76,2.79,3.18,78.3,26979,0.6,18.0,300,48,140,3.49,15.03,Increasing
2021-02-01,2021,2,Newcastle,Dhamra,Capesize,Coal,146000,160000,18.55,513.96,110.35,Winter,1.04,4250,13.62,2.79,3.18,78.3,26979,0.6,18.0,300,48,153,3.77,0.98,Stable
2021-02-01,2021,2,Gladstone,Paradip,Handysize,Coal,38000,38000,32.94,513.96,110.35,Winter,1.04,4800,16.67,2.82,3.38,77.1,26433,0.97,14.5,290,45,91,3.62,6.29,Increasing
2021-02-01,2021,2,Gladstone,Paradip,Supramax,Coal,55500,58000,27.81,513.96,110.35,Winter,1.04,4800,16.67,2.82,3.38,77.1,26433,0.97,14.5,290,45,217,4.01,0.54,Stable
2021-02-01,2021,2,Gladstone,Paradip,Panamax,Coal,67500,72000,24.52,513.96,110.35,Winter,1.04,4800,16.67,2.82,3.38,77.1,26433,0.97,14.5,290,45,38,3.78,-1.88,Stable
2021-02-01,2021,2,Gladstone,Paradip,Capesize,Coal,154500,160000,20.26,513.96,110.35,Winter,1.04,4800,15.38,2.82,3.38,77.1,26433,0.97,14.5,290,45,60,3.94,9.51,Increasing
2021-02-01,2021,2,Richards Bay,Paradip,Handysize,Coal,35500,38000,35.84,513.96,110.35,Winter,1.04,6900,23.96,2.88,2.84,73.1,25746,1.04,14.5,290,45,246,3.62,4.95,Increasing
2021-02-01,2021,2,Richards Bay,Paradip,Supramax,Coal,52000,58000,29.8,513.96,110.35,Winter,1.04,6900,23.96,2.88,2.84,73.1,25746,1.04,14.5,290,45,201,3.48,0.95,Stable
2021-02-01,2021,2,Richards Bay,Paradip,Panamax,Coal,69000,72000,30.32,513.96,110.35,Winter,1.04,6900,23.96,2.88,2.84,73.1,25746,1.04,14.5,290,45,205,3.64,15.11,Increasing
2021-02-01,2021,2,Richards Bay,Paradip,Capesize,Coal,155000,160000,22.38,513.96,110.35,Winter,1.04,6900,22.12,2.88,2.84,73.1,25746,1.04,14.5,290,45,134,3.54,8.69,Increasing
2021-02-01,2021,2,Indonesia,Paradip,Handysize,Coal,32500,38000,26.33,513.96,110.35,Winter,1.04,3000,10.42,2.24,2.52,78.3,28931,0.72,14.5,290,45,30,2.81,5.07,Increasing
2021-02-01,2021,2,Indonesia,Paradip,Supramax,Coal,56500,58000,22.28,513.96,110.35,Winter,1.04,3000,10.42,2.24,2.52,78.3,28931,0.72,14.5,290,45,73,2.75,1.0,Stable
2021-02-01,2021,2,Indonesia,Paradip,Panamax,Coal,69000,72000,19.44,513.96,110.35,Winter,1.04,3000,10.42,2.24,2.52,78.3,28931,0.72,14.5,290,45,177,2.94,0.21,Stable
2021-02-01,2021,2,Indonesia,Paradip,Capesize,Coal,147500,160000,17.56,513.96,110.35,Winter,1.04,3000,9.62,2.24,2.52,78.3,28931,0.72,14.5,290,45,210,2.42,8.73,Increasing
2021-02-01,2021,2,Brazil,Dhamra,Handysize,Iron Ore,35500,38000,41.02,513.96,110.35,Winter,1.04,11000,38.19,2.77,2.82,71.9,26597,1.39,18.0,300,48,63,3.24,5.91,Increasing
2021-02-01,2021,2,Brazil,Dhamra,Supramax,Iron Ore,53500,58000,34.25,513.96,110.35,Winter,1.04,11000,38.19,2.77,2.82,71.9,26597,1.39,18.0,300,48,301,3.42,-0.23,Stable
2021-02-01,2021,2,Brazil,Dhamra,Panamax,Iron Ore,65000,72000,31.92,513.96,110.35,Winter,1.04,11000,38.19,2.77,2.82,71.9,26597,1.39,18.0,300,48,329,3.58,2.47,Increasing
2021-02-01,2021,2,Brazil,Dhamra,Capesize,Iron Ore,146000,160000,24.54,513.96,110.35,Winter,1.04,11000,35.26,2.77,2.82,71.9,26597,1.39,18.0,300,48,261,3.14,5.41,Increasing
2021-03-01,2021,3,Newcastle,Paradip,Handysize,Coal,37000,38000,29.9,552.83,115.98,Spring,1.0693,4200,14.58,2.27,1.49,77.2,26406,0.5,14.5,290,45,124,1.93,-1.71,Stable
2021-03-01,2021,3,Newcastle,Paradip,Supramax,Coal,57000,58000,25.59,552.83,115.98,Spring,1.0693,4200,14.58,2.27,1.49,77.2,26406,0.5,14.5,290,45,253,1.9,4.71,Increasing
2021-03-01,2021,3,Newcastle,Paradip,Panamax,Coal,65500,72000,24.32,552.83,115.98,Spring,1.0693,4200,14.58,2.27,1.49,77.2,26406,0.5,14.5,290,45,175,1.75,10.0,Increasing
2021-03-01,2021,3,Newcastle,Paradip,Capesize,Coal,150500,160000,18.83,552.83,115.98,Spring,1.0693,4200,13.46,2.27,1.49,77.2,26406,0.5,14.5,290,45,169,2.07,1.62,Stable
2021-03-01,2021,3,Newcastle,Dhamra,Handysize,Coal,35500,38000,32.59,552.83,115.98,Spring,1.0693,4250,14.76,3.17,2.96,65.7,26087,1.87,18.0,300,48,110,3.48,3.59,Increasing
2021-03-01,2021,3,Newcastle,Dhamra,Supramax,Coal,53500,58000,27.5,552.83,115.98,Spring,1.0693,4250,14.76,3.17,2.96,65.7,26087,1.87,18.0,300,48,227,3.62,5.53,Increasing
2021-03-01,2021,3,Newcastle,Dhamra,Panamax,Coal,66000,72000,25.84,552.83,115.98,Spring,1.0693,4250,14.76,3.17,2.96,65.7,26087,1.87,18.0,300,48,184,3.74,1.69,Stable
2021-03-01,2021,3,Newcastle,Dhamra,Capesize,Coal,153500,160000,19.55,552.83,115.98,Spring,1.0693,4250,13.62,3.17,2.96,65.7,26087,1.87,18.0,300,48,115,3.72,5.39,Increasing
2021-03-01,2021,3,Gladstone,Paradip,Handysize,Coal,35500,38000,33.4,552.83,115.98,Spring,1.0693,4800,16.67,2.64,2.93,78.1,26423,0.86,14.5,290,45,142,3.68,1.4,Stable
2021-03-01,2021,3,Gladstone,Paradip,Supramax,Coal,56000,58000,29.51,552.83,115.98,Spring,1.0693,4800,16.67,2.64,2.93,78.1,26423,0.86,14.5,290,45,264,3.41,6.11,Increasing
2021-03-01,2021,3,Gladstone,Paradip,Panamax,Coal,69000,72000,25.76,552.83,115.98,Spring,1.0693,4800,16.67,2.64,2.93,78.1,26423,0.86,14.5,290,45,185,3.37,5.06,Increasing
2021-03-01,2021,3,Gladstone,Paradip,Capesize,Coal,151000,160000,21.21,552.83,115.98,Spring,1.0693,4800,15.38,2.64,2.93,78.1,26423,0.86,14.5,290,45,94,3.93,4.69,Increasing
2021-03-01,2021,3,Richards Bay,Paradip,Handysize,Coal,36000,38000,36.26,552.83,115.98,Spring,1.0693,6900,23.96,1.75,1.76,84.0,28341,1.38,14.5,290,45,88,2.09,1.17,Stable
2021-03-01,2021,3,Richards Bay,Paradip,Supramax,Coal,53500,58000,31.92,552.83,115.98,Spring,1.0693,6900,23.96,1.75,1.76,84.0,28341,1.38,14.5,290,45,148,1.87,7.11,Increasing
2021-03-01,2021,3,Richards Bay,Paradip,Panamax,Coal,67000,72000,28.33,552.83,115.98,Spring,1.0693,6900,23.96,1.75,1.76,84.0,28341,1.38,14.5,290,45,114,1.87,-6.56,Decreasing
2021-03-01,2021,3,Richards Bay,Paradip,Capesize,Coal,151500,160000,22.49,552.83,115.98,Spring,1.0693,6900,22.12,1.75,1.76,84.0,28341,1.38,14.5,290,45,119,1.96,0.49,Stable
2021-03-01,2021,3,Indonesia,Paradip,Handysize,Coal,35500,38000,27.95,552.83,115.98,Spring,1.0693,3000,10.42,2.43,2.26,74.8,26937,0.5,14.5,290,45,228,2.65,6.15,Increasing
2021-03-01,2021,3,Indonesia,Paradip,Supramax,Coal,54500,58000,22.38,552.83,115.98,Spring,1.0693,3000,10.42,2.43,2.26,74.8,26937,0.5,14.5,290,45,158,2.62,0.45,Stable
2021-03-01,2021,3,Indonesia,Paradip,Panamax,Coal,68500,72000,20.19,552.83,115.98,Spring,1.0693,3000,10.42,2.43,2.26,74.8,26937,0.5,14.5,290,45,201,3.08,3.86,Increasing
2021-03-01,2021,3,Indonesia,Paradip,Capesize,Coal,150000,160000,16.94,552.83,115.98,Spring,1.0693,3000,9.62,2.43,2.26,74.8,26937,0.5,14.5,290,45,215,2.59,-3.53,Decreasing
2021-03-01,2021,3,Brazil,Dhamra,Handysize,Iron Ore,35500,38000,42.64,552.83,115.98,Spring,1.0693,11000,38.19,2.42,2.76,74.7,27109,0.85,18.0,300,48,236,3.74,3.95,Increasing
2021-03-01,2021,3,Brazil,Dhamra,Supramax,Iron Ore,53000,58000,36.4,552.83,115.98,Spring,1.0693,11000,38.19,2.42,2.76,74.7,27109,0.85,18.0,300,48,174,3.75,6.28,Increasing
2021-03-01,2021,3,Brazil,Dhamra,Panamax,Iron Ore,66000,72000,31.49,552.83,115.98,Spring,1.0693,11000,38.19,2.42,2.76,74.7,27109,0.85,18.0,300,48,112,2.67,-1.35,Stable
2021-03-01,2021,3,Brazil,Dhamra,Capesize,Iron Ore,150000,160000,25.02,552.83,115.98,Spring,1.0693,11000,35.26,2.42,2.76,74.7,27109,0.85,18.0,300,48,172,3.29,1.96,Stable
2021-04-01,2021,4,Newcastle,Paradip,Handysize,Coal,34500,38000,29.97,590.15,112.85,Spring,1.08,4200,14.58,1.31,1.98,90.1,29259,0.5,14.5,290,45,268,2.19,0.23,Stable
2021-04-01,2021,4,Newcastle,Paradip,Supramax,Coal,56500,58000,25.68,590.15,112.85,Spring,1.08,4200,14.58,1.31,1.98,90.1,29259,0.5,14.5,290,45,112,2.22,0.35,Stable
2021-04-01,2021,4,Newcastle,Paradip,Panamax,Coal,68000,72000,23.8,590.15,112.85,Spring,1.08,4200,14.58,1.31,1.98,90.1,29259,0.5,14.5,290,45,209,1.95,-2.14,Decreasing
2021-04-01,2021,4,Newcastle,Paradip,Capesize,Coal,149500,160000,19.31,590.15,112.85,Spring,1.08,4200,13.46,1.31,1.98,90.1,29259,0.5,14.5,290,45,201,2.4,2.55,Increasing
2021-04-01,2021,4,Newcastle,Dhamra,Handysize,Coal,37000,38000,32.33,590.15,112.85,Spring,1.08,4250,14.76,1.18,1.17,87.4,28058,1.6,18.0,300,48,254,1.4,-0.8,Stable
2021-04-01,2021,4,Newcastle,Dhamra,Supramax,Coal,58000,58000,29.06,590.15,112.85,Spring,1.08,4250,14.76,1.18,1.17,87.4,28058,1.6,18.0,300,48,140,1.62,5.67,Increasing
2021-04-01,2021,4,Newcastle,Dhamra,Panamax,Coal,69000,72000,25.95,590.15,112.85,Spring,1.08,4250,14.76,1.18,1.17,87.4,28058,1.6,18.0,300,48,82,1.55,0.43,Stable
2021-04-01,2021,4,Newcastle,Dhamra,Capesize,Coal,155500,160000,18.54,590.15,112.85,Spring,1.08,4250,13.62,1.18,1.17,87.4,28058,1.6,18.0,300,48,65,0.87,-5.17,Decreasing
2021-04-01,2021,4,Gladstone,Paradip,Handysize,Coal,33000,38000,32.67,590.15,112.85,Spring,1.08,4800,16.67,1.65,2.36,83.0,29158,1.71,14.5,290,45,155,2.75,-2.19,Decreasing
2021-04-01,2021,4,Gladstone,Paradip,Supramax,Coal,54500,58000,27.68,590.15,112.85,Spring,1.08,4800,16.67,1.65,2.36,83.0,29158,1.71,14.5,290,45,152,2.33,-6.2,Decreasing
2021-04-01,2021,4,Gladstone,Paradip,Panamax,Coal,69000,72000,26.55,590.15,112.85,Spring,1.08,4800,16.67,1.65,2.36,83.0,29158,1.71,14.5,290,45,84,2.52,3.07,Increasing
2021-04-01,2021,4,Gladstone,Paradip,Capesize,Coal,145500,160000,20.92,590.15,112.85,Spring,1.08,4800,15.38,1.65,2.36,83.0,29158,1.71,14.5,290,45,236,2.41,-1.37,Stable
2021-04-01,2021,4,Richards Bay,Paradip,Handysize,Coal,34000,38000,36.1,590.15,112.85,Spring,1.08,6900,23.96,2.08,2.28,79.1,26783,0.56,14.5,290,45,317,2.66,-0.44,Stable
2021-04-01,2021,4,Richards Bay,Paradip,Supramax,Coal,53500,58000,32.0,590.15,112.85,Spring,1.08,6900,23.96,2.08,2.28,79.1,26783,0.56,14.5,290,45,151,2.6,0.25,Stable
2021-04-01,2021,4,Richards Bay,Paradip,Panamax,Coal,69000,72000,29.19,590.15,112.85,Spring,1.08,6900,23.96,2.08,2.28,79.1,26783,0.56,14.5,290,45,117,2.51,3.04,Increasing
2021-04-01,2021,4,Richards Bay,Paradip,Capesize,Coal,149000,160000,21.1,590.15,112.85,Spring,1.08,6900,22.12,2.08,2.28,79.1,26783,0.56,14.5,290,45,38,3.0,-6.18,Decreasing
2021-04-01,2021,4,Indonesia,Paradip,Handysize,Coal,36500,38000,27.54,590.15,112.85,Spring,1.08,3000,10.42,2.7,2.91,75.1,28910,1.25,14.5,290,45,83,3.0,-1.47,Stable
2021-04-01,2021,4,Indonesia,Paradip,Supramax,Coal,55000,58000,23.3,590.15,112.85,Spring,1.08,3000,10.42,2.7,2.91,75.1,28910,1.25,14.5,290,45,46,3.24,4.11,Increasing
2021-04-01,2021,4,Indonesia,Paradip,Panamax,Coal,65500,72000,22.78,590.15,112.85,Spring,1.08,3000,10.42,2.7,2.91,75.1,28910,1.25,14.5,290,45,230,3.4,12.83,Increasing
2021-04-01,2021,4,Indonesia,Paradip,Capesize,Coal,157500,160000,17.33,590.15,112.85,Spring,1.08,3000,9.62,2.7,2.91,75.1,28910,1.25,14.5,290,45,91,3.78,2.3,Increasing
2021-04-01,2021,4,Brazil,Dhamra,Handysize,Iron Ore,36000,38000,43.61,590.15,112.85,Spring,1.08,11000,38.19,2.1,2.12,77.0,26516,0.87,18.0,300,48,48,2.64,2.27,Increasing
2021-04-01,2021,4,Brazil,Dhamra,Supramax,Iron Ore,53500,58000,35.93,590.15,112.85,Spring,1.08,11000,38.19,2.1,2.12,77.0,26516,0.87,18.0,300,48,112,2.28,-1.29,Stable
2021-04-01,2021,4,Brazil,Dhamra,Panamax,Iron Ore,68000,72000,31.99,590.15,112.85,Spring,1.08,11000,38.19,2.1,2.12,77.0,26516,0.87,18.0,300,48,181,2.48,1.59,Stable
2021-04-01,2021,4,Brazil,Dhamra,Capesize,Iron Ore,151000,160000,25.31,590.15,112.85,Spring,1.08,11000,35.26,2.1,2.12,77.0,26516,0.87,18.0,300,48,113,2.69,1.16,Stable
2021-05-01,2021,5,Newcastle,Paradip,Handysize,Coal,34000,38000,29.92,581.01,102.07,Spring,1.0693,4200,14.58,1.71,1.57,80.6,28344,1.67,14.5,290,45,29,1.89,-0.17,Stable
2021-05-01,2021,5,Newcastle,Paradip,Supramax,Coal,55000,58000,26.27,581.01,102.07,Spring,1.0693,4200,14.58,1.71,1.57,80.6,28344,1.67,14.5,290,45,211,1.46,2.3,Increasing
2021-05-01,2021,5,Newcastle,Paradip,Panamax,Coal,67500,72000,23.33,581.01,102.07,Spring,1.0693,4200,14.58,1.71,1.57,80.6,28344,1.67,14.5,290,45,107,1.89,-1.97,Stable
2021-05-01,2021,5,Newcastle,Paradip,Capesize,Coal,146500,160000,19.08,581.01,102.07,Spring,1.0693,4200,13.46,1.71,1.57,80.6,28344,1.67,14.5,290,45,240,1.74,-1.19,Stable
2021-05-01,2021,5,Newcastle,Dhamra,Handysize,Coal,34000,38000,32.62,581.01,102.07,Spring,1.0693,4250,14.76,1.76,1.8,85.5,26158,1.66,18.0,300,48,143,2.21,0.9,Stable
2021-05-01,2021,5,Newcastle,Dhamra,Supramax,Coal,53500,58000,27.8,581.01,102.07,Spring,1.0693,4250,14.76,1.76,1.8,85.5,26158,1.66,18.0,300,48,147,2.41,-4.34,Decreasing
2021-05-01,2021,5,Newcastle,Dhamra,Panamax,Coal,68000,72000,25.2,581.01,102.07,Spring,1.0693,4250,14.76,1.76,1.8,85.5,26158,1.66,18.0,300,48,127,2.0,-2.89,Decreasing
2021-05-01,2021,5,Newcastle,Dhamra,Capesize,Coal,148500,160000,20.23,581.01,102.07,Spring,1.0693,4250,13.62,1.76,1.8,85.5,26158,1.66,18.0,300,48,126,2.19,9.12,Increasing
2021-05-01,2021,5,Gladstone,Paradip,Handysize,Coal,32000,38000,33.13,581.01,102.07,Spring,1.0693,4800,16.67,2.44,3.08,79.5,26785,1.24,14.5,290,45,10,3.43,1.41,Stable
2021-05-01,2021,5,Gladstone,Paradip,Supramax,Coal,54500,58000,30.48,581.01,102.07,Spring,1.0693,4800,16.67,2.44,3.08,79.5,26785,1.24,14.5,290,45,186,3.46,10.12,Increasing
2021-05-01,2021,5,Gladstone,Paradip,Panamax,Coal,69500,72000,24.64,581.01,102.07,Spring,1.0693,4800,16.67,2.44,3.08,79.5,26785,1.24,14.5,290,45,178,3.71,-7.19,Decreasing
2021-05-01,2021,5,Gladstone,Paradip,Capesize,Coal,143500,160000,21.91,581.01,102.07,Spring,1.0693,4800,15.38,2.44,3.08,79.5,26785,1.24,14.5,290,45,187,3.42,4.73,Increasing
2021-05-01,2021,5,Richards Bay,Paradip,Handysize,Coal,34000,38000,37.24,581.01,102.07,Spring,1.0693,6900,23.96,1.65,2.9,83.4,27701,1.49,14.5,290,45,91,3.21,3.16,Increasing
2021-05-01,2021,5,Richards Bay,Paradip,Supramax,Coal,53500,58000,31.88,581.01,102.07,Spring,1.0693,6900,23.96,1.65,2.9,83.4,27701,1.49,14.5,290,45,186,3.45,-0.38,Stable
2021-05-01,2021,5,Richards Bay,Paradip,Panamax,Coal,66500,72000,28.13,581.01,102.07,Spring,1.0693,6900,23.96,1.65,2.9,83.4,27701,1.49,14.5,290,45,81,3.08,-3.63,Decreasing
2021-05-01,2021,5,Richards Bay,Paradip,Capesize,Coal,152000,160000,23.16,581.01,102.07,Spring,1.0693,6900,22.12,1.65,2.9,83.4,27701,1.49,14.5,290,45,86,3.41,9.76,Increasing
2021-05-01,2021,5,Indonesia,Paradip,Handysize,Coal,32500,38000,28.41,581.01,102.07,Spring,1.0693,3000,10.42,2.05,2.58,77.7,26674,2.34,14.5,290,45,212,2.94,3.16,Increasing
2021-05-01,2021,5,Indonesia,Paradip,Supramax,Coal,55000,58000,22.71,581.01,102.07,Spring,1.0693,3000,10.42,2.05,2.58,77.7,26674,2.34,14.5,290,45,355,2.98,-2.53,Decreasing
2021-05-01,2021,5,Indonesia,Paradip,Panamax,Coal,68000,72000,21.77,581.01,102.07,Spring,1.0693,3000,10.42,2.05,2.58,77.7,26674,2.34,14.5,290,45,198,3.01,-4.43,Decreasing
2021-05-01,2021,5,Indonesia,Paradip,Capesize,Coal,146500,160000,17.38,581.01,102.07,Spring,1.0693,3000,9.62,2.05,2.58,77.7,26674,2.34,14.5,290,45,310,3.29,0.29,Stable
2021-05-01,2021,5,Brazil,Dhamra,Handysize,Iron Ore,36500,38000,40.56,581.01,102.07,Spring,1.0693,11000,38.19,2.18,2.37,78.3,27428,0.91,18.0,300,48,282,2.72,-6.99,Decreasing
2021-05-01,2021,5,Brazil,Dhamra,Supramax,Iron Ore,54000,58000,35.25,581.01,102.07,Spring,1.0693,11000,38.19,2.18,2.37,78.3,27428,0.91,18.0,300,48,27,2.97,-1.89,Stable
2021-05-01,2021,5,Brazil,Dhamra,Panamax,Iron Ore,68000,72000,31.4,581.01,102.07,Spring,1.0693,11000,38.19,2.18,2.37,78.3,27428,0.91,18.0,300,48,56,2.68,-1.84,Stable
2021-05-01,2021,5,Brazil,Dhamra,Capesize,Iron Ore,158500,160000,25.62,581.01,102.07,Spring,1.0693,11000,35.26,2.18,2.37,78.3,27428,0.91,18.0,300,48,39,2.7,1.22,Stable
2021-06-01,2021,6,Newcastle,Paradip,Handysize,Coal,33500,38000,31.99,564.36,91.91,Summer,1.04,4200,14.58,0.81,1.63,92.4,28843,2.92,14.5,290,45,164,1.78,6.92,Increasing
2021-06-01,2021,6,Newcastle,Paradip,Supramax,Coal,54500,58000,26.01,564.36,91.91,Summer,1.04,4200,14.58,0.81,1.63,92.4,28843,2.92,14.5,290,45,148,1.63,-0.99,Stable
2021-06-01,2021,6,Newcastle,Paradip,Panamax,Coal,66500,72000,23.21,564.36,91.91,Summer,1.04,4200,14.58,0.81,1.63,92.4,28843,2.92,14.5,290,45,116,1.6,-0.51,Stable
2021-06-01,2021,6,Newcastle,Paradip,Capesize,Coal,151000,160000,18.32,564.36,91.91,Summer,1.04,4200,13.46,0.81,1.63,92.4,28843,2.92,14.5,290,45,280,1.11,-3.98,Decreasing
